Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=47, sum[1...47] =-1081
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=48, sum[1...48] =-1128
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=49, sum[1...49] =-1176
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=50, sum[1...50] =-1225
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=51, sum[1...51] =-1275
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=52, sum[1...52] =-1326
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=53, sum[1...53] =-1378
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=54, sum[1...54] =-1431
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=55, sum[1...55] =-1485
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=56, sum[1...56] =-1540
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=57, sum[1...57] =-1596
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=58, sum[1...58] =-1653
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=59, sum[1...59] =-1711
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=60, sum[1...60] =-1770
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=61, sum[1...61] =-1830
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=62, sum[1...62] =-1891
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=63, sum[1...63] =-1953
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=64, sum[1...64] =-2016
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=65, sum[1...65] =-2080
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=66, sum[1...66] =-2145
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=67, sum[1...67] =-2211
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=68, sum[1...68] =-2278
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=69, sum[1...69] =-2346
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=70, sum[1...70] =-2415
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=71, sum[1...71] =-2485
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=72, sum[1...72] =-2556
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=73, sum[1...73] =-2628
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=74, sum[1...74] =-2701
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=75, sum[1...75] =-2775
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=76, sum[1...76] =-2850
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=77, sum[1...77] =-2926
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=78, sum[1...78] =-3003
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=79, sum[1...79] =-3081
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=80, sum[1...80] =-3160
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=81, sum[1...81] =-3240
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=82, sum[1...82] =-3321
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=83, sum[1...83] =-3403
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=84, sum[1...84] =-3486
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=85, sum[1...85] =-3570
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=86, sum[1...86] =-3655
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=87, sum[1...87] =-3741
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=88, sum[1...88] =-3828
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=89, sum[1...89] =-3916
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=90, sum[1...90] =-4005
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=91, sum[1...91] =-4095
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=92, sum[1...92] =-4186
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=93, sum[1...93] =-4278
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=94, sum[1...94] =-4371
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=95, sum[1...95] =-4465
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=96, sum[1...96] =-4560
Jun 13 08:49:45 raspberrypi pthread_128[2439]: [COURSE:1][ASSIGNMENT:3]: Thread idx=97, sum[1...97] =-4656
